Text,Confidence
Thank you for visiting!,0.9343891143798828
Please complete this form to help us understand whats important to you.,0.8579092025756836
Frst NamoA,0.669519305229187
Last Name D,0.8801883459091187
Organizaton CNC1,0.8032006025314331
Department ,0.7392175197601318
Pooschaes Cawus rcr,0.5847827792167664
Cy Koln+,0.6122312545776367
Mob 173os,0.6104347705841064
Emal,0.9153420925140381
obT Sr Rs,0.6440591812133789
BachelorsMastrs studentPhD studnt Prncp vestigatoScstTechnician,0.7170671820640564
Others,0.6811440587043762
Is your lab interested in any of the following?,0.9639706611633301
Qutation,0.6535042524337769
03morte,0.744243323802948
Purchase',0.8113861680030823
5-12 mot,0.6990264654159546
Purcrassin,0.8051736950874329
NoPanto,0.9572423696517944
Purcaos,0.7538235783576965
Uartrs,0.5066877007484436
Faceet,0.7273900508880615
De Eeacto,0.5607755780220032
ndeetdPutoto,0.5178326368331909
Wendemi Ectlstrumentston.,0.6402193307876587
Abodim&ESA,0.6708654165267944
Ct CMdap,0.5869075059890747
Pinson A Tascon,0.6528968214988708
CsPR Er,0.5299915075302124
Ce Gne TrySoo,0.7320944666862488
Adomatad Cef Courtor,0.8459329605102539
CMso,0.5642403960227966
Pate Flesd,0.6553573608398438
Com Fesh Souto,0.6656166315078735
FeveneTrarscrpton,0.7127863168716431
